Ind_ID,RandomSex,G,NC,SOL,SOR,MPL,MPR,MAL,MAR,VAL,VAR,SPCL,SPCR
SIM001,M,3,3,4,3,2,1,4,3,3,2,2,3
SIM002,M,4,4,4,5,4,4,4,5,5,4,4,5
SIM003,M,2,4,3,3,2,2,1,2,1,1,1,1
SIM004,F,5,5,3,4,5,5,4,4,4,4,4,4
SIM005,M,3,4,4,4,4,5,5,5,4,4,5,4
SIM006,F,3,5,4,3,4,4,4,4,5,5,4,4
SIM007,M,3,3,3,4,4,5,4,5,5,4,4,4
SIM008,F,1,4,2,3,3,3,3,3,1,2,1,2
SIM009,F,2,2,2,3,1,1,4,4,1,2,3,4
SIM010,F,2,4,3,4,2,4,3,3,3,2,3,2
SIM011,M,2,3,4,3,4,3,3,1,3,1,2,1
SIM012,F,3,3,4,4,3,3,3,4,2,3,1,3
SIM013,M,3,4,4,4,4,5,4,3,5,4,4,4
SIM014,M,3,4,4,4,3,3,3,3,1,4,1,1
SIM015,M,4,3,5,4,2,2,4,4,4,5,4,4
SIM016,M,5,5,5,5,5,5,3,3,4,4,4,4
SIM017,F,2,4,3,4,3,3,3,3,3,2,2,2
SIM018,F,3,3,4,4,3,4,3,4,1,1,1,2
SIM019,M,3,3,3,3,3,3,4,4,5,4,4,4
SIM020,M,5,3,4,3,3,4,4,5,5,5,4,4
SIM021,M,2,4,4,4,4,5,3,3,3,1,1,2
SIM022,M,2,3,2,3,1,4,2,3,1,3,3,2
SIM023,M,2,2,3,1,2,1,1,1,2,2,1,1
SIM024,F,1,4,2,2,3,3,1,2,2,2,1,1
SIM025,F,3,4,2,3,4,5,3,4,1,2,2,3
SIM026,F,3,3,4,3,2,1,3,3,1,1,1,1
SIM027,M,4,3,4,4,3,5,5,5,5,4,4,4
SIM028,M,4,3,3,3,5,4,4,4,4,5,4,4
SIM029,F,3,5,4,5,4,5,4,4,4,3,4,4
SIM030,F,3,4,3,3,4,4,5,5,5,5,4,4
SIM031,F,3,5,4,4,2,1,5,4,5,5,4,4
SIM032,M,2,4,3,2,1,1,4,4,1,2,1,2
SIM033,F,3,5,3,3,2,1,4,4,3,4,3,4
SIM034,M,3,4,3,2,3,3,3,3,5,2,4,4
SIM035,F,2,3,3,2,1,1,3,2,4,2,1,1
SIM036,F,2,5,1,1,4,3,1,2,3,4,2,2
SIM037,M,3,3,5,5,3,3,3,3,1,2,1,2
SIM038,F,3,4,4,4,5,5,4,4,3,2,4,4
SIM039,F,3,4,2,3,4,5,4,4,5,5,5,5
SIM040,M,2,1,2,1,3,3,3,3,1,1,2,2
SIM041,M,3,4,3,3,2,3,4,4,4,4,4,4
SIM042,M,3,3,3,2,2,3,4,4,4,3,4,4
SIM043,M,2,3,2,2,3,3,2,3,1,1,1,1
SIM044,F,2,3,1,3,2,3,4,4,1,1,4,3
SIM045,M,2,1,3,1,3,2,4,4,4,4,3,4
SIM046,F,4,5,3,3,2,3,3,4,4,5,4,4
SIM047,F,3,4,4,5,3,3,4,4,4,4,4,4
SIM048,F,3,4,4,3,3,3,4,4,4,4,4,4
SIM049,F,4,4,5,5,3,3,4,4,5,4,4,4
SIM050,F,5,4,4,4,2,2,3,3,2,4,3,2
